E_EXPACS_binning,E_ICRP116_binning,E_ICRP74_binning,E_TRS403_binning,E_AP_ICRP116,E_PA_ICRP116,E_LLAT_ICRP116,E_RLAT_ICRP116,E_ROT_ICRP116,E_ISO_ICRP116,E_ISO_ICRP74,H10_ICRP74,E_ISO_TRS403,H10_TRS403
3.162E-03,2.00E+03,,,612,740,730,747,718,767,,,,
3.981E-03,5.00E+03,,,716,924,963,979,906,1010,,,,
5.012E-03,1.00E+04,,,933,1170,1230,1260,1140,1320,,,,
6.310E-03,0,,,0,0,0,0,0,0,,,,
7.943E-03,0,,,0,0,0,0,0,0,,,,
1.000E-02,0,,,0,0,0,0,0,0,,,,
1.259E-02,0,,,0,0,0,0,0,0,,,,
1.585E-02,0,,,0,0,0,0,0,0,,,,
1.995E-02,0,,,0,0,0,0,0,0,,,,
2.512E-02,0,,,0,0,0,0,0,0,,,,
3.162E-02,0,,,0,0,0,0,0,0,,,,
3.981E-02,0,,,0,0,0,0,0,0,,,,
5.012E-02,0,,,0,0,0,0,0,0,,,,
6.310E-02,0,,,0,0,0,0,0,0,,,,
7.943E-02,0,,,0,0,0,0,0,0,,,,
1.000E-01,0,,,0,0,0,0,0,0,,,,
1.259E-01,0,,,0,0,0,0,0,0,,,,
1.585E-01,0,,,0,0,0,0,0,0,,,,
1.995E-01,0,,,0,0,0,0,0,0,,,,
2.512E-01,0,,,0,0,0,0,0,0,,,,
3.162E-01,0,,,0,0,0,0,0,0,,,,
3.981E-01,0,,,0,0,0,0,0,0,,,,
5.012E-01,0,,,0,0,0,0,0,0,,,,
6.310E-01,0,,,0,0,0,0,0,0,,,,
7.943E-01,0,,,0,0,0,0,0,0,,,,
1.000E+00,0,,,0,0,0,0,0,0,,,,
1.259E+00,0,,,0,0,0,0,0,0,,,,
1.585E+00,0,,,0,0,0,0,0,0,,,,
1.995E+00,0,,,0,0,0,0,0,0,,,,
2.512E+00,0,,,0,0,0,0,0,0,,,,
3.162E+00,0,,,0,0,0,0,0,0,,,,
3.981E+00,0,,,0,0,0,0,0,0,,,,
5.012E+00,0,,,0,0,0,0,0,0,,,,
6.310E+00,0,,,0,0,0,0,0,0,,,,
7.943E+00,0,,,0,0,0,0,0,0,,,,
1.000E+01,0,,,0,0,0,0,0,0,,,,
1.259E+01,0,,,0,0,0,0,0,0,,,,
1.585E+01,0,,,0,0,0,0,0,0,,,,
1.995E+01,0,,,0,0,0,0,0,0,,,,
2.512E+01,0,,,0,0,0,0,0,0,,,,
3.162E+01,0,,,0,0,0,0,0,0,,,,
3.981E+01,0,,,0,0,0,0,0,0,,,,
5.012E+01,0,,,0,0,0,0,0,0,,,,
6.310E+01,0,,,0,0,0,0,0,0,,,,
7.943E+01,0,,,0,0,0,0,0,0,,,,
1.000E+02,0,,,0,0,0,0,0,0,,,,
1.259E+02,0,,,0,0,0,0,0,0,,,,
1.585E+02,0,,,0,0,0,0,0,0,,,,
1.995E+02,0,,,0,0,0,0,0,0,,,,
2.512E+02,0,,,0,0,0,0,0,0,,,,
3.162E+02,0,,,0,0,0,0,0,0,,,,
3.981E+02,0,,,0,0,0,0,0,0,,,,
5.012E+02,0,,,0,0,0,0,0,0,,,,
6.310E+02,0,,,0,0,0,0,0,0,,,,
7.943E+02,0,,,0,0,0,0,0,0,,,,
1.000E+03,0,,,0,0,0,0,0,0,,,,
1.259E+03,0,,,0,0,0,0,0,0,,,,
1.585E+03,0,,,0,0,0,0,0,0,,,,
1.995E+03,0,,,0,0,0,0,0,0,,,,
2.512E+03,0,,,0,0,0,0,0,0,,,,
3.162E+03,0,,,0,0,0,0,0,0,,,,
3.981E+03,0,,,0,0,0,0,0,0,,,,
5.012E+03,0,,,0,0,0,0,0,0,,,,
6.310E+03,0,,,0,0,0,0,0,0,,,,
7.943E+03,0,,,0,0,0,0,0,0,,,,
